ST_CASE,LATITUDE,LONGITUD
62007,41.56100833,-120.2939694
62009,34.73298056,-117.32925
62010,38.0428,-121.2560972
62011,38.60488611,-121.4153972
62012,35.408625,-119.0246417
62013,39.65842778,-123.4776944
62014,38.01304167,-121.9140333
62015,34.21346389,-118.3878639
62016,33.80135,-116.4581417
62017,34.23185278,-118.4632667
62018,33.77925833,-118.2755083
62019,34.25974167,-118.3223722
62020,32.69270833,-117.0736667
62021,33.53938333,-117.6747694
62022,37.95503611,-122.32945
62023,38.03295,-122.2670556
62024,37.72010833,-122.4000694
62025,40.93306389,-123.6756528
62026,38.83630278,-120.3836167
62027,39.31395278,-120.6259889
62028,37.9712,-120.2230889
62029,34.16403056,-116.21455
62030,38.52844444,-120.4416611
62031,37.86163056,-121.2180167
62032,39.0968,-121.5789361
62033,33.98933889,-118.2558861
62034,38.24681667,-122.6274361
62035,33.44275,-117.6279694
62036,36.21754722,-119.3310056
62037,37.58388611,-122.0587333
62038,34.58856111,-118.4552833
62039,36.32826667,-119.4040389
62040,38.264175,-122.7285056
62041,36.18037222,-119.3285778
62042,34.07938889,-117.2975556
62043,33.74354722,-116.3045
62044,33.55158889,-116.7085139
62045,38.82741667,-120.9431333
62046,41.33293611,-124.0309167
62047,38.74165,-122.6240861
62048,34.77646667,-118.2849639
62049,33.82640556,-118.2063889
62050,33.98865833,-118.33065
62051,33.95991111,-118.315325
62052,33.96343333,-118.3003111
62053,34.506775,-117.341575
62054,34.20715556,-118.5097944
62055,36.95391667,-120.0546972
62056,36.94174444,-120.0560639
62057,34.26586111,-118.5448917
62058,34.00365556,-118.3239972
62059,34.52844722,-117.3513639
62060,33.97916389,-118.2871361
62061,33.98866111,-118.3306556
62062,33.91553611,-118.0293694
62063,38.79528889,-121.324775
62064,33.78272222,-118.2198917
62065,34.31218333,-118.4364389
62066,34.06107222,-118.2498
62067,32.76465278,-117.2348139
62068,38.510575,-121.4121889
62069,34.44361667,-118.5085806
62070,38.9691,-122.6474028
62071,34.03006389,-118.2390389
62072,34.27261111,-118.4222
62073,34.09585833,-118.2961167
62074,34.16642778,-118.5858806
62075,32.842175,-117.02345
62076,34.30632778,-119.3492
62077,34.26651944,-118.4440889
62078,38.74610833,-121.3091583
62079,33.866975,-118.1338778
62080,34.10651667,-117.4350056
62081,34.04538333,-118.2465222
62082,34.2504,-119.2063444
62083,34.26457222,-118.4611583
62084,32.70685833,-117.0936417
62085,34.17937222,-118.3811
62086,34.28805,-118.4019583
62087,37.23096389,-121.9037722
62088,32.71135,-117.0509556
62089,35.58596944,-119.3493417
62090,34.20115556,-118.5027917
62091,38.95070556,-122.6231167
62092,36.13867778,-119.8781028
62093,36.1894,-119.9454278
62094,38.91408889,-122.6878111
62095,33.76589722,-117.9325194
62096,37.92201111,-122.3551444
62097,33.36195,-117.1601917
62098,35.66575833,-118.0378611
62099,33.77560833,-118.2034722
62100,34.18235556,-118.4488028
62101,34.12363056,-118.1579861
62102,38.70365278,-121.3375361
62103,35.80523333,-119.1092778
62105,37.94041667,-121.2770389
62106,37.92200556,-121.2633889
62107,34.11768889,-117.3703889
62108,33.55629444,-117.5490806
62109,37.41496667,-121.8805417
62110,34.135275,-118.851375
62111,33.951775,-118.2126556
62112,34.52118056,-117.9489389
62113,35.29625833,-120.8067583
62114,33.83888889,-117.9590833
62115,39.761175,-121.8119833
62116,33.09335,-117.072175
62117,33.95408889,-116.5012611
62118,33.82115556,-117.9590083
62119,38.62931944,-121.3955083
62120,41.62898611,-122.8876861
62121,38.33388333,-121.17315
62122,35.65615833,-119.2219028
62123,33.84278611,-116.9960889
62124,35.30630833,-119.2524417
62125,35.41327778,-119.0563806
62126,40.02245833,-123.7937167
62127,37.36343889,-120.6570389
62128,36.93150833,-121.4766917
62129,35.42070278,-119.4980472
62130,34.90576667,-116.8183111
62131,34.02756944,-118.241125
62132,33.18806389,-117.3648417
62133,34.0701,-117.1556806
62134,33.12700278,-117.0838611
62135,37.99373611,-122.3295778
62136,34.06701389,-117.9256278
62137,34.19731667,-118.89025
62138,37.63551389,-120.9748167
62139,36.77105,-119.8442556
62140,33.12322778,-117.0959889
62141,36.37132778,-119.282425
62142,37.49788611,-122.2492778
62143,33.86521667,-117.9963194
62144,33.67345,-117.2576639
62145,33.19228333,-117.2705583
62146,33.85621111,-117.9937
62148,34.25492778,-118.4375972
62149,33.869,-117.5449139
62150,35.66403611,-118.3047889
62151,34.31199722,-118.4337722
62152,35.37668333,-118.910325
62153,34.90121389,-116.8489944
62154,37.67279167,-121.0403667
62155,37.664025,-121.0120889
62156,38.25126944,-122.0296806
62157,33.45355278,-117.6646528
62158,32.57655833,-117.0694444
62159,37.39371667,-121.8493056
62160,34.45041111,-117.3623806
62161,33.90259444,-118.0379889
62162,33.65252222,-117.9210917
62163,33.76559167,-117.9724472
62164,32.70411944,-117.0994528
62165,34.20475278,-118.3877833
62166,32.76554444,-117.2378889
62167,37.29914722,-120.4639722
62168,36.65879167,-121.6919028
62169,33.85411389,-118.2175694
62170,34.20404167,-118.4733861
62171,33.12958889,-117.0756611
62172,33.35240556,-116.7403
62173,38.45291389,-121.3952972
62174,35.10706944,-120.1063
62175,40.49529722,-121.8659722
62176,33.34411389,-117.1597417
62177,37.30349722,-121.9407361
62178,32.75188611,-115.4307333
62179,41.4923,-120.9686889
62180,33.92831389,-118.2297917
62181,35.02003611,-120.3168417
62182,38.43300833,-120.4614222
62183,36.10001944,-120.0036222
62184,33.859725,-115.2533694
62185,37.05701944,-121.0121917
62186,34.05565556,-117.4803028
62187,36.79400278,-119.7859556
62188,38.55141111,-121.7018528
62189,37.91063611,-121.1657472
62190,33.72768611,-117.3792361
62191,35.11823611,-118.2225194
62192,36.21067778,-119.3843
62193,33.46251667,-116.0915
62194,38.01145278,-121.8678278
62195,35.32558611,-118.9676556
62196,33.75049444,-118.0417778
62197,33.58453611,-117.6350556
62198,37.35027778,-121.8380889
62199,37.68776667,-121.0315056
62200,38.64674444,-122.5924417
62201,37.59473333,-120.9431389
62202,34.27043889,-118.7963778
62203,34.28083889,-118.662025
62204,36.19022778,-121.0785806
62205,38.11610833,-121.4113333
62206,37.65733611,-121.0258417
62207,37.67725278,-120.8482222
62208,34.04613333,-118.4463
62209,33.67041389,-116.1815417
62210,34.08838889,-117.5448611
62211,38.03444722,-121.338
62212,36.37869444,-119.2157
62213,34.13622222,-117.3667361
62214,35.01208889,-117.9112222
62215,33.74328056,-117.1217278
62216,38.38200833,-122.31135
62217,37.16459167,-121.9894167
62218,38.70181944,-121.1053194
62219,37.41880833,-121.9636611
62220,36.1585,-120.9822389
62221,33.873225,-118.2738639
62222,37.40282222,-122.2991194
62223,37.70351944,-121.9979333
62224,37.15091389,-121.9955056
62225,34.14902222,-118.6714806
62226,39.65767778,-123.4773806
62227,37.62374444,-120.9864472
62228,33.88310556,-117.5427361
62229,38.69395556,-121.3238611
62230,34.88809444,-117.0212972
62231,35.36237778,-118.9852083
62232,35.638275,-118.4818472
62233,37.95188333,-121.2705639
62234,37.82243056,-122.3218583
62235,34.15286111,-118.22445
62236,39.37026389,-121.6600028
62237,34.02270556,-118.1995028
62239,34.40809444,-118.7894889
62240,37.99864722,-121.2555361
62241,34.53986667,-120.1969028
62242,39.23408333,-123.2024778
62243,36.26364444,-119.3670528
62244,33.89475,-118.3285833
62245,37.23621944,-121.9195194
62246,33.88108056,-117.5743361
62247,36.73588889,-119.5775
62248,38.66123333,-121.3736472
62249,36.30468056,-119.7272028
62250,36.77861389,-121.708075
62251,34.079225,-118.29145
62252,33.95994722,-118.3156167
62253,34.24636111,-118.3839528
62254,34.167225,-118.4661583
62255,32.70616389,-117.0820556
62256,34.47434722,-117.3427611
62257,32.79374722,-117.1702389
62258,32.69345833,-117.1767556
62259,34.696825,-118.0947944
62260,34.21759722,-118.4487528
62261,34.77973056,-118.7984694
62262,36.14550556,-119.1172222
62263,39.20083889,-121.0601833
62264,33.98393333,-117.7103194
62265,33.88150556,-117.6203139
62266,33.818675,-117.5157222
62267,33.80378889,-117.5042722
62268,34.02869444,-118.0021806
62269,33.97470278,-118.2476611
62270,37.29880833,-120.7064194
62271,34.10024167,-114.9077639
62272,34.06967222,-117.1062806
62273,36.92331389,-119.9928778
62274,36.92405833,-119.793925
62275,37.99729444,-121.8766889
62276,36.99630278,-120.0816278
62277,37.95778056,-121.7780722
62278,37.08731389,-120.2123694
62279,37.7011,-121.7961111
62280,34.85915278,-120.4392528
62281,34.16933611,-118.3773083
62282,34.27332222,-118.3527667
62283,39.05814722,-123.0622083
62284,39.16696944,-122.5352278
62285,33.19527778,-117.1359417
62286,34.15198889,-118.1266861
62287,36.67736667,-121.7035417
62288,37.76459167,-121.1641889
62289,35.24276944,-119.0744722
62290,33.07549167,-117.1619417
62291,34.24781944,-118.2824
62292,34.23277222,-118.4502611
62293,34.66096667,-118.1200528
62294,33.98915,-118.2136667
62295,32.68658333,-117.0925778
62296,32.54589167,-117.0353194
62297,36.86771667,-119.5648861
62298,37.99770556,-121.8060861
62299,35.35406667,-118.9707361
62300,38.00600833,-121.8198028
62301,38.30992778,-121.9702556
62302,33.91596667,-118.3697556
62303,34.21736944,-117.2912639
62304,38.49612222,-121.42935
62305,38.69098889,-121.2443111
62306,34.02743611,-117.9066222
62307,33.80307778,-118.2077056
62308,34.77683056,-118.1846667
62309,38.00283889,-121.2573278
62310,38.35789167,-121.9749556
62311,37.63291944,-121.0855778
62312,35.3675,-119.0028333
62313,33.98863889,-118.2809333
62314,38.58593056,-121.4490167
62315,36.753775,-119.8497417
62316,34.10903056,-119.0796917
62317,34.41983056,-119.645025
62318,37.68913333,-120.9975833
62319,36.99418611,-120.0025528
62320,34.07934444,-118.2272
62321,34.58232778,-114.642075
62322,37.72764167,-122.4446333
62323,38.23395,-122.2600222
62324,38.02229444,-121.9788417
62325,39.05505833,-122.7826889
62326,33.56938056,-116.0878694
62327,37.16168889,-122.0793583
62328,37.98191111,-120.2981778
62329,39.73748889,-121.8207917
62330,35.408675,-119.0327
62331,35.36598056,-117.6185278
62332,35.37578056,-118.9590694
62333,33.913375,-117.4444
62334,38.00625556,-122.164525
62335,35.25258056,-118.8783972
62336,36.88840833,-119.7111722
62337,34.72620556,-116.1521639
62338,34.57761111,-117.9607861
62339,36.65228889,-121.6455139
62340,37.88404722,-121.2202361
62341,35.87747222,-119.214775
62342,36.92310833,-119.8260389
62343,33.9152,-116.6091167
62344,38.57510556,-121.53615
62345,33.87062778,-116.4930667
62346,38.62871944,-121.3785083
62347,35.37699722,-118.9845194
62348,34.22316667,-118.4104444
62349,34.16500556,-118.3821139
62350,33.88075278,-117.5513583
62351,34.47690833,-119.7691583
62352,33.90638889,-116.8720611
62353,37.22447222,-122.4073167
62354,34.88771667,-116.9942222
62355,35.36778333,-119.0437167
62356,33.69705278,-117.7363417
62357,33.96426389,-117.3775722
62358,35.47933889,-118.7420417
62359,36.41185833,-119.6367889
62360,33.8231,-117.2348917
62361,37.81313333,-121.0154056
62362,37.78342222,-121.2516583
62363,34.59243056,-118.2775917
62364,33.94667222,-117.2449806
62365,34.06837778,-117.3891417
62366,34.60450556,-118.1466306
62367,34.13943889,-118.4711833
62368,33.90187778,-118.2652361
62369,39.27431389,-120.7170583
62370,38.47621944,-122.4353833
62371,34.23472778,-118.4120389
62372,32.79308889,-117.11235
62373,34.05738889,-117.370325
62374,38.17907222,-121.2625417
62375,37.87179167,-121.2788972
62376,33.15655,-117.1039194
62378,33.04876667,-117.2940028
62379,37.92533333,-122.3381111
62380,36.85199444,-119.720275
62381,36.77036667,-119.844225
62382,37.76575,-122.40785
62383,34.17157222,-118.4620611
62384,32.60373889,-117.0844111
62385,34.11050556,-117.4536222
62386,34.06671389,-117.2109056
62387,36.83743056,-119.6347611
62388,39.34153056,-120.3129472
62389,40.44427778,-122.8695222
62390,33.74566667,-117.8150278
62391,34.02745,-117.9066333
62392,34.22212778,-119.1099917
62393,34.28114167,-119.3057417
62394,35.40854444,-119.0335917
62395,36.78583333,-119.7489333
62396,33.86985,-117.9896306
62397,37.59441111,-122.0697389
62399,34.08544167,-117.9626167
62400,33.812875,-117.9930722
62401,32.74287222,-117.0393194
62402,33.90343889,-118.2178444
62403,33.92690833,-118.1499139
62404,33.85923056,-117.9979972
62405,33.03152778,-117.041575
62406,34.14004722,-118.0283472
62407,33.92202778,-118.1476778
62408,37.80346389,-122.2535556
62409,35.49974722,-119.2057944
62410,34.00583333,-118.0825722
62411,34.07233333,-117.2603444
62412,37.95232222,-121.2762333
62413,34.19048333,-118.1569056
62414,34.06815,-118.2572194
62415,34.49860833,-117.7992694
62416,37.69669167,-122.4321167
62417,34.168725,-118.5933806
62418,36.8075,-119.7324444
62419,34.159225,-118.4654889
62420,34.16350833,-118.4721417
62421,36.97581667,-121.4355528
62422,33.97687222,-118.3644194
62423,33.95971111,-118.3457972
62424,33.96204167,-118.2111056
62425,36.77210278,-119.6732444
