ST_CASE,MONTH,DAY,DAY_WEEK,HOUR,LATITUDE,LONGITUD,HARM_EV,LGT_COND,WEATHER,VE_FORMS,TRAV_SP,DEATHS,DR_DRINK,VSPD_LIM
122382,9,25,2,4,26.13256111,-80.3882,24,2,10,1,70,1,0,60
122383,9,26,3,23,26.09505556,-80.23272778,52,3,2,1,60,1,0,45
122384,9,30,7,12,27.42576667,-82.57551667,12,1,1,2,90,1,0,45
122386,9,29,6,11,26.13818056,-80.12883611,12,1,1,2,10,0,0,0
122387,10,4,4,16,30.39991389,-87.31299167,12,1,1,3,10,1,0,45
122388,9,23,7,5,30.75025278,-87.37473333,42,2,1,1,55,1,1,55
122389,9,26,3,16,26.39196111,-80.09668889,14,1,1,1,70,1,0,65
122390,9,28,5,17,27.36776667,-80.81856944,12,1,1,2,60,1,0,60
122391,9,29,6,21,27.40296111,-82.53277222,12,3,1,7,80,0,1,55
122392,9,25,2,15,27.29874722,-82.48486944,12,1,10,2,15,1,0,45
122393,9,26,3,10,28.45089722,-81.37979167,12,1,1,2,55,1,0,55
122394,9,25,2,17,28.05463333,-82.43219444,12,1,1,2,10,0,0,0
122395,9,28,5,5,30.74604167,-86.21658889,12,2,10,2,55,0,1,55
122396,10,7,7,3,30.21576389,-81.51879444,12,3,1,2,100,1,1,45
122397,10,6,6,22,30.40373333,-81.73080833,8,3,1,1,30,0,0,40
122398,10,6,6,12,29.63063056,-81.48643056,34,1,1,1,30,1,0,30
122399,10,7,7,15,28.14104444,-80.598525,8,1,1,1,15,0,1,40
122401,10,1,1,3,29.55861389,-82.33124167,8,2,8,1,65,0,0,65
122402,10,8,1,16,26.83716389,-80.64800556,42,1,10,1,60,1,0,35
122403,9,23,7,7,25.74844444,-80.29109167,30,1,1,1,998,1,0,40
122404,9,26,3,18,29.18418333,-82.12009167,1,5,10,1,60,1,0,25
122405,9,29,6,20,28.66910278,-81.41916667,8,2,1,1,40,0,0,45
122406,9,30,7,1,26.26747778,-80.20475278,42,3,1,1,30,1,0,30
122407,10,7,7,10,28.52776111,-81.44675556,8,1,1,1,35,0,0,35
122408,10,5,5,20,28.06941944,-82.47366667,9,2,1,1,45,0,0,40
122409,10,9,2,6,27.58596667,-82.52413333,12,3,10,2,70,1,0,70
122410,7,30,1,4,27.70521111,-82.64085556,42,3,1,1,60,1,1,35
